source_path	manifest_sha	subtests	decision	hidden_dependencies	rationale
service-workers/service-worker/credentials.https.html	0a90dc2897c27323682a6e16bfd6aaa5370855e0	5	gated-script-credentials-update	dynamic-cookie;server-stash;classic-module;importScripts;update-job;MessageEvent	初始/更新 classic main/import 与 module script 的 credential policy
service-workers/service-worker/data-transfer-files.https.html	c503a28f965b296b346de237aee77b46414bb7cd	1	skip-form-file-platform	DataTransfer;File;file-input;multipart-form;dynamic-server;iframe	构造 File 并 multipart POST 到表单 handler，属于表单/File 平台集成
service-workers/service-worker/invalid-blobtype.https.html	1c5920fb039101b18fc3c39e53f7cbb9b5e1ebfc	1	defer-fetch-response-validation	fetch-interception;Blob;invalid-MIME;XMLHttpRequest;iframe;MessageChannel	respondWith 含 NUL Blob.type 的 Response，XHR 端验证网络错误
service-workers/service-worker/invalid-header.https.html	1bc976979046c127ad3d2f4282ce297e997b903d	1	defer-fetch-response-validation	fetch-interception;invalid-header;XMLHttpRequest;iframe;MessageChannel	respondWith 含 NUL header value 的 Response，XHR 端验证错误
service-workers/service-worker/iso-latin1-header.https.html	c27a5f48a5b9e9384a5c9129d0288761b0df9cd7	1	defer-fetch-response-validation	fetch-interception;Latin1-header;XMLHttpRequest;iframe;MessageChannel	respondWith ISO-8859-1 header，XHR 端验证可见值
service-workers/service-worker/next-hop-protocol.https.html	0805db9e24dbb91669176e91eb3e69a37abbf2ab	2	gated-network-protocol-timing	H1;H2;PerformanceResourceTiming;synthetic;fallback;CacheAPI;iframe	比较 synthetic/fallback/pass-through/cache 的 nextHopProtocol
service-workers/service-worker/opaque-response-preloaded.https.html	417aa4ebec8380ec778bbe42f3ee8fb45649292f	2	gated-opaque-preload-cache	cross-origin;no-cors;opaque-response;preload;XMLHttpRequest;iframe	预加载 opaque response 后同 URL XHR 不得复用缓存
service-workers/service-worker/performance-timeline.https.html	e56e6fe416ff215341ba9b6df088f111f9645623	4	defer-worker-performance-timeline	worker-testharness;UserTiming;ResourceTiming;buffer-full;busy-wait;iframe	1 wrapper + 2 worker performance tests + 1 SW fetch overhead test
service-workers/service-worker/request-end-to-end.https.html	82475eabc4ab49467955310786f7a405b277bb94	1	defer-fetch-request-projection	FetchEvent.request;navigation;immutable-headers;synthetic-response;iframe	合成 JSON 验证 navigation Request 的 URL/method/referrer/mode/credentials/redirect
service-workers/service-worker/resource-timing-bodySize.https.html	5c2b1eba8c811c83a65446ba4ea1da29508df42c	24	gated-resource-timing-body-size	cross-origin;TAO;CORS;no-cors;ReadableStream;dynamic-image;iframe	3 mode x 2 TAO x 4 response variant 的 encoded/decoded size
service-workers/service-worker/resource-timing-cross-origin.https.html	9184a5933a8ae4d056e9e4bff455f01eafdcc7c6	2	gated-cross-origin-resource-timing	cross-origin;CORS;no-cors;image;PerformanceResourceTiming;iframe	SW 把同源 image 请求改写到跨源并验证 timing allow 过滤
service-workers/service-worker/resource-timing-cross-origin-server-timing.https.html	0b53b5d35cf3650091b39846979b9186c212c00b	1	gated-server-timing-filter	cross-origin;CORS;TAO;Server-Timing;dynamic-server;PerformanceObserver;iframe	六场景比较 opaque/CORS/TAO/synthetic/same-origin 的 Server-Timing exposure
service-workers/service-worker/resource-timing-fetch-variants.https.html	8d4f0be01a8aad03af9de54441550d9e84d976a0	5	gated-resource-timing-fetch-variants	fetch-interception;dynamic-redirect;delays;PerformanceResourceTiming;iframe	比较 SW 内 redirect/forward/fetch 前后延迟映射到客户端 timing
service-workers/service-worker/resource-timing.sub.https.html	e8328f3597ba25e34f02b9dd6cca1ed491cc9bbb	2	gated-resource-timing-mixed	cross-origin;dynamic-redirect;missing-response;ORB;fetch-interception;iframe	controlled 资源的 generated/fallback/redirect/cross-origin/failure timing 与 non-controlled 对照
service-workers/service-worker/respond-with-body-accessed-response.https.html	f6713d89216ec0a8e5cfc6f4cbb326f0bd6e672e	20	gated-response-body-cache-cross-origin	cross-origin;opaque;CacheAPI;clone;body-access;JSONP;iframe	1 setup + 1 cleanup + 18 basic/opaque/default x clone/cache 矩阵
service-workers/service-worker/xhr-content-length.https.window.js	1ae320e9c3c5713a2d47291d83ba7d72dc03c152	5	defer-xhr-content-length	fetch-interception;synthetic-response;Content-Length;ProgressEvent;iframe	1 setup + 四种 absent/large/duplicate/bogus Content-Length
service-workers/service-worker/xhr-response-url.https.html	673ca52cc67450f8b296ea50f7ac4c4fee310602	6	defer-xhr-response-url	fetch-interception;fetch-response-url;synthetic-response;responseXML;iframe	setup/cleanup 与 fetch/generated text/document 的 responseURL/baseURI
