source_path	manifest_sha	subtests	decision	hidden_dependencies	rationale
service-workers/service-worker/dedicated-worker-service-worker-interception.https.html	2144f4827121b4902d8c56a61df823f04ee8801d	3	skip-dedicated-worker-interception	DedicatedWorker;module-worker;static-import;dynamic-import;fetch-interception	验证 dedicated module worker 主脚本与 import 经 SW 拦截，超出单页面基础 fetch
service-workers/service-worker/global-serviceworker.https.any.js	19d77847c426180e04ac51e507c1714c1309a193	4	defer-worker-global-lifecycle	serviceworker-global;self.serviceWorker;self-message;install;activate	直接在 SW global 验证 parsed/installing/activating identity 与自消息
service-workers/service-worker/historical.https.any.js	20b3ddfbf7b883026b70692cf0f907dc93f5ad2b	1	defer-fetch-interface	serviceworker-global;FetchEvent.prototype	验证历史 targetClientId 已从 FetchEvent 移除
service-workers/service-worker/import-scripts-cross-origin.https.html	773708a9fbce32a6b17f22d88b9fb6ebc3553710	1	gated-cross-origin-importScripts	importScripts;cross-origin;dynamic-server;CORS	worker 从远端 HTTPS origin 加载动态版本脚本
service-workers/service-worker/import-scripts-data-url.https.html	f0922193dd0112b72881d05a97aafc67c5bdc3d5	1	defer-static-importScripts	importScripts;data-url	静态 worker 验证 importScripts 接受 data URL
service-workers/service-worker/import-scripts-mime-types.https.html	1679831d0f2b98aee22898d820373e80079fbe00	23	gated-dynamic-mime-importScripts	importScripts;dynamic-content-type;worker-testharness;MessageChannel	1 setup + 1 wrapper + worker 内 5 非法/16 合法 MIME 测试
service-workers/service-worker/import-scripts-redirect.https.html	07ea49439eba8f9762b2bc17b5ae2346d9d15397	3	gated-dynamic-redirect-importScripts	importScripts;redirect;stash;update-job;dynamic-script	覆盖初次 redirect、redirect body 更新及第二次请求才 redirect
service-workers/service-worker/import-scripts-resource-map.https.html	4742bd01268360477bf6061f8505fe9a3b7cadb7	2	gated-dynamic-import-map	importScripts;time-script;query-response;resource-map	动态版本脚本验证同 URL 缓存和多参数 importScripts
service-workers/service-worker/interface-requirements-sw.https.html	eef868c889f04d257055d9f08ce22832b6cc34fd	4	defer-worker-interface	worker-testharness;FetchEvent;ExtendableEvent;Request;interface-exposure	1 wrapper + worker 内 event constructor、XHR 与 createObjectURL exposure
service-workers/service-worker/no-dynamic-import.any.js	25b370b7094bf8f92cc347693c9ac5a1fa664845	3	defer-worker-dynamic-import	serviceworker-global;dynamic-import;data-url	经典 SW global 中三种 import() 必须以 TypeError 拒绝
service-workers/service-worker/no-dynamic-import-in-module.any.js	f7c2ef37b8b938df9b8ccae12511dfbe58d8e694	3	defer-module-worker-dynamic-import	serviceworker-module;static-import;dynamic-import;data-url	module SW 先静态 import 后仍要求三种 import() 拒绝
service-workers/service-worker/serviceworkerobject-scripturl.https.html	6004985a34608132825086dab0c0777f3f0fdf1e	4	next-wave-static-core	scriptURL;relative-url;fragment;query;absolute-url	静态 empty worker 验证四种 scriptURL 解析与保留
service-workers/service-worker/uncontrolled-page.https.html	e22ca8f0a91adf9fbcf64c77cd3d1d4df27956f3	1	defer-fetch-uncontrolled-bypass	fetch-interception;XMLHttpRequest;scope-mismatch;network-fallback	激活的 fail-on-fetch worker 不得拦截 scope 外页面请求
