source_path	manifest_sha	generated_urls	subtests	decision	hidden_dependencies	rationale
service-workers/service-worker/intercepted-referrer.https.html	72d789451390f4c90c77b8c6d7203fa814542747	1	1	defer-navigation-core	iframe;fetch-interception;clients.claim;skipWaiting;synthetic-html	静态 worker 合成 navigation document，验证 document.referrer 保留
service-workers/service-worker/navigate-window.https.html	46d32a48a0ad9d98b3bc882b59e8924e45ee9ebc	1	2	skip-multi-window-clients	popup;history-navigation;reload;clients.matchAll;includeUncontrolled	独立 window 前进/后退/重载并核对逐 client URL/frameType
service-workers/service-worker/navigation-headers.https.html	a4b52035e221c268c74a045050f28771d0c8b9f5	1	83	gated-navigation-header-server	dynamic-header-echo;GET;POST;redirect-chain;cross-origin;navigation-preload;iframe	83 项矩阵验证 Origin/Referer/Sec-Fetch 头及 rewrite/fallback/preload
service-workers/service-worker/navigation-redirect-body.https.html	0441c610b17978941efb832e4af202bcc4ff955b	1	1	gated-navigation-post-redirect	dynamic-server;POST-body;302;iframe;fetch-pass-through	POST navigation 经 SW fetch 后 302，验证重定向请求清除 body
service-workers/service-worker/navigation-redirect.https.html	a87de56931638d0939e406aa95146699e5a63603	2	78	skip-multi-origin-redirect-clients	two-variants;three-registrations;cross-origin;clients.get;resultingClientId;CacheAPI;redirect	37 redirect 场景在 default/client 两个 variant 中验证拦截链与 client 身份
service-workers/service-worker/navigation-redirect-resolution.https.html	59e1cafec3484a87fbe1f4ba31cdb2e7d3fb960d	1	3	gated-navigation-redirect-resolution	dynamic-redirect;opaqueredirect;CacheAPI;clone;iframe	相对 Location 必须按 response URL list 解析并跨 cache/clone 保留
service-workers/service-worker/navigation-redirect-to-http.https.html	d4d2788c5891a1fbc3f38f448c40cacb44a980f2	1	1	gated-cross-scheme-opaqueredirect	HTTPS-to-HTTP;dynamic-redirect;opaqueredirect;worker-testharness;iframe	SW fetch 手动 redirect 到 HTTP，验证 opaqueredirect 后返回合成响应
service-workers/service-worker/navigation-sets-cookie.https.html	7f6c756f557241fb2e2a56c0bcff8b05d0ff1e4c	1	16	skip-cookie-multi-window	cross-site;popup;SameSite-cookies;dynamic-Set-Cookie;navigation-preload;GET;POST	双 origin popup 注册/清理 SW，14 项 navigation 设置 SameSite cookie
service-workers/service-worker/navigation-timing-extended.https.html	acb02c6fe1f56ae9cf4d61516fdbf05306050914	1	1	defer-navigation-timing	iframe;delayed-activate;synthetic-response;PerformanceNavigationTiming	静态 worker 验证 workerStart/fetchStart 与 activate/fetch handler 相对时序
service-workers/service-worker/navigation-timing.https.html	75cab40458c6d362caa34315388ad762fbb7d2e9	1	3	gated-navigation-timing-redirect	iframe;fetch-pass-through;network-fallback;dynamic-redirect;PerformanceNavigationTiming	合成、fallback、redirect 三种 navigation timing 顺序同文件
service-workers/service-worker/navigation-timing-sizes.https.html	e726a31f17060f7c37ad07d15c1de4ab88bf4c44	1	3	gated-navigation-timing-sizes	iframe;fetch-pass-through;server-pipe;gzip;PerformanceNavigationTiming;ResourceTiming	HTML/text/gzip pass-through 的 encoded/decoded body size 与父页面 resource timing
service-workers/service-worker/redirected-response.https.html	71b35d0e12050623d650ca822c780037d8258422	1	26	gated-redirected-response-cache	dynamic-redirect;fetch-interception;redirect-modes;CacheAPI;iframe;MessageChannel	覆盖 follow/error/manual、generated/relative/20-hop redirect 及缓存后 Response 状态
service-workers/service-worker/referer.https.html	0957e4c5330168b08236ff7c431706a1d92cc1a4	1	1	gated-referrer-header-echo	dynamic-request-header-echo;fetch-rewrite;iframe;MessageChannel	比较页面 fetch、SW pass-through 与 rewrite 后网络 Referer
service-workers/service-worker/referrer-policy-header.https.html	784343e6d8f1fc864af9145539d3f3f2f0d3b261	1	3	gated-referrer-policy-header	server-pipe;response-header;classic-module;dynamic-redirect;iframe;MessageChannel	主资源 redirect 与 SW fetch 在 Referrer-Policy origin 下的 referrer
service-workers/service-worker/referrer-toplevel-script-fetch.https.html	65c60a11db20aabce766b4b414a35cb3ddffd466	1	2	gated-script-fetch-referrer	dynamic-request-header-injection;uuid-script;update-job;classic-module;MessageEvent	服务端把 register/update 请求头注入 classic/module worker 后消息回传
