source_path	manifest_sha	subtests	decision	hidden_dependencies	rationale
service-workers/service-worker/activation.https.html	278454d3383e3d71a3925663dfcfc3444eddff83	4	gated-dynamic-controller	random-script;iframe;clients.claim;MessageEvent;skipWaiting	动态脚本制造 waiting worker，验证 controllee、进行中事件与激活/注销时序
service-workers/service-worker/http-to-https-redirect-and-register.https.html	5626237dcccbf279029ca072b8a0bc9e845fbb1c	2	skip-cross-origin-popup-redirect	http-origin;cross-origin;popup;redirect-handler;postMessage	HTTP 远端 popup 经动态重定向后比较 secure/insecure 注册能力
service-workers/service-worker/multiple-register.https.html	752e132fc13accb94f58e3e824c64fe72c7d4222	3	gated-dynamic-iframe	iframe;intentional-404;cross-global-identity;concurrent-register	同窗口/iframe 跨 global registration 对象身份与并发注册同文件
service-workers/service-worker/multiple-update.https.html	6a83f73a054f8a50284ae9b55bba9cde4d74c108	1	gated-dynamic-update	random-script;update-job;concurrent-update	每次返回新字节，验证单次、10 路并发及后续 update
service-workers/service-worker/partitioned-getRegistrations.tentative.https.html	7c4d4f1e028b3966afdcfef10c060aefee54e344	1	skip-partitioned-multi-context	partitioned-storage;third-party-window;nested-iframe;fetch-interception;postMessage	比较一方与三方分区中的 SW 随机身份，依赖 popup 和嵌套 iframe
service-workers/service-worker/register-closed-window.https.html	9c1b639bb757d02949746d3fa584db8bbf286066	1	skip-closed-window-popup	popup;closed-global;iframe;postMessage	从已关闭 popup 获取的 container 调用 register，超出单页面环境
service-workers/service-worker/registration-updateviacache.https.html	b2f6bbc6f849c7e8051f1aedc9f476c47d5a39a4	25	gated-http-cache-update	dynamic-last-modified;max-age;importScripts;iframe;MessageEvent;update-job	4+16+4 参数矩阵及失败项依赖 HTTP cache revalidation 与动态时间脚本
service-workers/service-worker/Service-Worker-Allowed-header.https.html	6f44bb17e7da958a195e8602aa5aef9c135a80b3	8	gated-server-header-cross-origin	server-pipe;response-header;cross-origin;scope-validation	动态响应头覆盖相对/绝对/父路径及跨源 Service-Worker-Allowed
service-workers/service-worker/ServiceWorkerGlobalScope/update.https.html	a7dde2233972cb3c1b8250f3b0a184413cd7c5a5	1	gated-dynamic-fetch-update	time-script;worker-registration;iframe;fetch-interception;MessageEvent	worker 消息内 update 后由第二个 iframe fetch 回传事件序列
service-workers/service-worker/soft-update-fetch-metadata.https.html	45bf61701c38ab523a7462b81e8f66a368079123	3	gated-server-request-metadata	stash;request-headers;dynamic-script;iframe;classic-module-import	记录初始/soft update 的 Fetch Metadata 请求头并动态提供 classic/module 脚本
service-workers/service-worker/static-router-multiple-router-registrations.https.html	dd7ff1e4e9ddd36227605e497246299f91b07f12	2	skip-static-router-cache	addRoutes;static-routing;CacheAPI;module-worker;fetch;dynamic-response	验证 addRoutes 多规则和 import 注册规则，超出基础 SW 目标且依赖 Cache API
service-workers/service-worker/unregister-immediately-during-extendable-events.https.html	6ba87a7ce80e198132b38b3878d069efe423b071	1	skip-clear-site-data-fetch	Clear-Site-Data;fetch-interception;never-settling-promise;controllerchange	用 Clear-Site-Data 中止永不完成的 fetch 并立即清除 controller
service-workers/service-worker/unregister-immediately.https.html	c6a91f8e235fca71563e55164137c6417ced9670	4	skip-clear-site-data-controller	Clear-Site-Data;dynamic-update;iframe;controllerchange;ready	清除 activating/waiting/controlled/unregistered registration，属于站点数据清理语义
service-workers/service-worker/update-after-navigation-redirect.https.html	6e821fe479f273f7b17fd8d91e681ecd283a933d	1	gated-server-navigation-update	redirect-chain;three-registrations;iframe;random-script;navigation-update	动态三段 redirect navigation 必须触发链上三个 registration update
service-workers/service-worker/update-after-oneday.https.html	e7a8aa42d307799b157fd3994ac291d5c596bfd1	1	gated-time-policy-update	test-preference;24-hour-policy;iframe;functional-event;random-script	要求测试开关把 registration 视为超过 24 小时并由 navigation/fetch 触发更新
service-workers/service-worker/update-bytecheck-cors-import.https.html	121a7378e358d632cee3ef56e79a19c865ea5c3d	8	next-wave-module-cors-core	time-script;cross-origin-import;CORS;classic-module;update-job	跨源 classic no-cors 与 module CORS imported graph 的 4x2 bytecheck 矩阵已覆盖
service-workers/service-worker/update-bytecheck.https.html	3e5a28bb67cb75624a5dd98bd15e137e55c87b0f	8	next-wave-bytecheck-core	time-script;importScripts;module-import;classic-module;update-job	classic/module 的 main/imported 字节更新矩阵已由状态化 fixture 与完整 graph bytecheck 覆盖
service-workers/service-worker/update.https.html	f9fded3db49f02de6ce13c3b1cec209dad0779bf	7	gated-server-update	stash;dynamic-status;dynamic-mime;redirect;syntax-error;iframe;update-job	按请求次数生成正常/MIME/redirect/语法/安装异常及文件切换响应
service-workers/service-worker/update-import-scripts.https.html	a2df529e90dfd31a75afdac093a5dd1b74d00134	5	gated-server-import-update	stash;file-switch;missing-import;cross-origin-import;update-job	动态切换主脚本并组合 404、移除及跨源 importScripts
service-workers/service-worker/update-missing-import-scripts.https.html	66e8bfac751e835af8e543fc5289697c15ac118d	2	gated-server-import-update	stash;dynamic-main-script;dynamic-404;importScripts;ordered-tests	两项共享全局 registration，第二次 imported script 请求必须返回 404
service-workers/service-worker/update-module-request-mode.https.html	b3875d207bc252dea8e43c1b585febe6d6a10f0b	1	gated-server-request-metadata	request-header-capture;uuid-script;module-worker;MessageEvent	服务端注入 update 请求头与 UUID，worker 消息回传 mode/origin
service-workers/service-worker/update-no-cache-request-headers.https.html	6ebad4b7b10bcdf176c1543fd711aee31d5547b7	1	gated-server-request-metadata	request-header-capture;etag;uuid-script;updateViaCache;MessageEvent	服务端注入请求头与 UUID，验证 no-cache update 的 ETag 条件请求
service-workers/service-worker/update-on-navigation.https.html	5273420b90fc97fcd441ac057a99ee5b31c84a30	1	gated-streaming-navigation-update	streaming-response;delays;random-script;iframe;fetch-pass-through	慢速流式 navigation 与 update 并发，验证 active worker 不被终止
service-workers/service-worker/update-recovery.https.html	17608d2ef790e2ea97a43f56b86a28ef0e647604	1	gated-cookie-fetch-recovery	cookie-state;fetch-interception;rejected-response;navigation-update;iframe	首版 worker 破坏 navigation，cookie 驱动更新为可恢复版本
